strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010300032203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032305,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032306,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032307,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032308,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032309,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032406,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032407,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032408,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300032409,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010104,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010105,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010106,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010107,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010108,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010109,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010110,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010305,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010306,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010406,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010501,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010502,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010603,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010604,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010605,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010400010606,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
