#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
100,_In,100_In,,EA0000005AB8FB21,,x,Working 
100,_Out,100_Out,,FC0000005AADA221,,x,Working 
101,_In,101_In,,3E0000005ACF6821,,x,Working 
101,_Out,101_Out,,2C0000005AC51921,,x,Working 
102,_In,102_In,,390000005AAFC521,,x,Working 
102,_Out,102_Out,,CF0000005ABB5A21,,x,Working 
103,_In,103_In,,060000005ABC2A21,,x,Working 
103,_Out,103_Out,,A40000005AC84421,,x,Working 
104,_In,104_In,,900000005AA65021,,x,Working 
104,_Out,104_Out,,610000005ABDF821,,x,Working 
105,_In,105_In,,620000005AB79421,,x,Working 
105,_Out,105_Out,,F80000005ACFAB21,,x,Working 
106,_In,106_In,,B70000005ABF9121,,x,Working 
106,_Out,106_Out,,E90000005AC54C21,,x,Working 
107,_In,107_In,,800000005AB10E21,,x,Working 
107,_Out,107_Out,,D40000005A9D4521,,x,Working 
108,_In,108_In,,080000005AC63D21,,x,Working 
108,_Out,108_Out,,7E0000005AAD1521,,x,Working 
109,_In,109_In,,2A0000005AB2F721,,x,needs re-pairing
109,_Out,109_Out,,780000005AB64A21,,x,needs re-pairing
110,_In,110_In,,420000005AC51B21,,x,Working
110,_Out,110_Out,,960000005AAEAD21,,x,Working
111,_In,111_In,,610000005AB04D21,,x,Working 
111,_Out,111_Out,,8E0000005AB63821,,x,Working 
112,_In,112_In,,630000005AB43A21,,x,Working 
112,_Out,112_Out,,1B0000005AB58C21,,x,Working 
113,_In,113_In,,D40000005AB3D021,,x,Working 
113,_Out,113_Out,,C80000005ACE0321,,x,Working 
114,_In,114_In,,040000005AB94421,,x,Working 
114,_Out,114_Out,,A40000005ACF0B21,,x,Working 
115,_In,115_In,,AE0000005AAC6221,,x,Working 
115,_Out,115_Out,,B70000005AA94E21,,x,Working 
116,_In,116_In,,660000005ACEF721,,x,Working 
116,_Out,116_Out,,630000005AC1D321,,x,Working 
117,_In,117_In,,F20000005AA72121,,x,Working 
117,_Out,117_Out,,2D0000005AAE6221,,x,Working 
118,_In,118_In,,4D0000005AAF0021,,x,Working 
118,_Out,118_Out,,3D0000005AC16021,,x,Working 
119,_In,119_In,,070000005AC6C121,,x,Working 
119,_Out,119_Out,,980000005AC43321,,x,Working 
120,_In,120_In,,D20000005AADF221,,x,Working 
120,_Out,120_Out,,970000005AA7F921,,x,Working 
121,_In,121_In,,850000005AA12421,,x,Working 
121,_Out,121_Out,,580000005AC97021,,x,Working 
122,_In,122_In,,CB0000005ACF8C21,,x,Working
122,_Out,122_Out,,740000005AAF7821,,x,Working
123,_In,123_In,,5C0000005ACD3221,,x,Working
123,_Out,123_Out,,B50000005AAD3921,,x,Working
124,_In,124_In,,B60000005AAF9D21,,x,Working 
124,_Out,124_Out,,A10000005AA20021,,x,Working 
125,_In,125_In,,020000005ABE3E21,,x,Working 
125,_Out,125_Out,,7E0000005ABFAE21,,x,Working 
126,_In,126_In,,C10000005AAFCE21,,x,Working 
126,_Out,126_Out,,930000005AAC3C21,,x,Working 
127,_In,127_In,,C20000005AC2F021,,x,Working 
127,_Out,127_Out,,D00000005A9E4821,,x,Working 
128,_In,128_In,,9F0000005AC82F21,,x,Working 
128,_Out,128_Out,,270000005ABBC921,,x,Working 
129,_In,129_In,,970000005ACF2C21,,x,Working
129,_Out,129_Out,,0E0000005AB0CA21,,x,Working; minimal chewing  
130,_In,130_In,,C80000005A9F8521,,x,Working
130,_Out,130_Out,,340000005ACB5321,,x,Working
131,_In,131_In,,5F0000005AA32721,,x,Working; minimal chewing 
131,_Out,131_Out,,2E0000005AB7AC21,,x,Working 
132,_In,132_In,,7D0000005AB4DB21,,x,Working 
132,_Out,132_Out,,AC0000005ACB2321,,x,Working 
133,_In,133_In,,4C0000005ABA7121,,x,Working
133,_Out,133_Out,,8B0000005AA53921,,x,Working
134,_In,134_In,,A90000005AB92621,,x,Working 
134,_Out,134_Out,,880000005AAE4C21,,x,Working 
135,_In,135_In,,280000005AB5AB21,,x,Working 
135,_Out,135_Out,,2E0000005AC41321,,x,Working 
136,_In,136_In,,280000005AAAA521,,x,Working 
136,_Out,136_Out,,430000005AAF7921,,x,Working 
137,_In,137_In,,D70000005AC83121,,x,Working 
137,_Out,137_Out,,C60000005AB9A121,,x,Working 
138,_In,138_In,,180000005AA59321,,x,Working 
138,_Out,138_Out,,E70000005AB90D21,,x,Working 
139,_In,139_In,,F00000005ABF7321,,x,Working 
139,_Out,139_Out,,EF0000005AA33221,,x,Working 
140,_In,140_In,,180000005ACC5F21,,x,Working 
140,_Out,140_Out,,390000005ACBBC21,,x,Working 
141,_In,141_In,,7D0000005AC13221,,x,Working 
141,_Out,141_Out,,770000005ACA8E21,,x,Working 
142,_In,142_In,,7E0000005AB21B21,,x,Working 
142,_Out,142_Out,,080000005AC34021,,x,Working 
143,_In,143_In,,4B0000005AAB5121,,x,Working 
143,_Out,143_Out,,070000005ACE0921,,x,Working 
144,_In,144_In,,130000005AAFB321,,x,Working 
144,_Out,144_Out,,CF0000005ABE2721,,x,Working 
145,_In,145_In,,730000005ABC6A21,,x,Working
145,_Out,145_Out,,A20000005ACD0C21,,x,Working
146,_In,146_In,,510000005ACEF621,,x,Working
146,_Out,146_Out,,F30000005AA3C021,,x,Working
147,_In,147_In,,220000005AC56021,,x,Working 
